,Name,Ability,Ability Description,Extra Ability,Extra Ability Description,Hidden Ability,Hidden Ability Description
79,Slowpoke,Oblivious,Prevents it from becoming infatuated.,Own Tempo,Prevents the Pokémon from becoming confused.,Regenerator,Restores a little HP when withdrawn from battle.
80,Slowbro,Oblivious,Prevents it from becoming infatuated.,Own Tempo,Prevents the Pokémon from becoming confused.,Regenerator,Restores a little HP when withdrawn from battle.
81,Magnemite,Magnet Pull,Prevents Steel-type Pokémon from escaping.,Sturdy,It cannot be knocked out with one hit.,Analytic,Boosts move power when the Pokémon moves last.
82,Magneton,Magnet Pull,Prevents Steel-type Pokémon from escaping.,Sturdy,It cannot be knocked out with one hit.,Analytic,Boosts move power when the Pokémon moves last.
83,Farfetch'd,Keen Eye,Prevents other Pokémon from lowering accuracy.,Inner Focus,The Pokémon is protected from flinching.,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
84,Doduo,Run Away,Enables a sure getaway from wild Pokémon.,Early Bird,The Pokémon awakens quickly from sleep.,Tangled Feet,Raises evasion if the Pokémon is confused.
85,Dodrio,Run Away,Enables a sure getaway from wild Pokémon.,Early Bird,The Pokémon awakens quickly from sleep.,Tangled Feet,Raises evasion if the Pokémon is confused.
86,Seel,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Hydration,Heals status problems if it is raining.,Ice Body,The Pokémon gradually regains HP in a hailstorm.
87,Dewgong,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Hydration,Heals status problems if it is raining.,Ice Body,The Pokémon gradually regains HP in a hailstorm.
88,Grimer,Stench,The stench may cause the target to flinch.,Sticky Hold,Protects the Pokémon from item theft.,Poison Touch,May poison targets when a Pokémon makes contact.
89,Muk,Stench,The stench may cause the target to flinch.,Sticky Hold,Protects the Pokémon from item theft.,Poison Touch,May poison targets when a Pokémon makes contact.
90,Shellder,Shell Armor,The Pokémon is protected against critical hits.,Skill Link,Increases the frequency of multi-strike moves.,Overcoat,Protects the Pokémon from weather damage.
91,Cloyster,Shell Armor,The Pokémon is protected against critical hits.,Skill Link,Increases the frequency of multi-strike moves.,Overcoat,Protects the Pokémon from weather damage.
92,Gastly,Levitate,Gives immunity to Ground type moves.,,,,
93,Haunter,Levitate,Gives immunity to Ground type moves.,,,,
94,Gengar,Cursed Body,May disable a move used on the Pokémon.,,,,
95,Onix,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.,Weak Armor,Physical attacks lower Defense and raise Speed.
96,Drowzee,Insomnia,Prevents the Pokémon from falling asleep.,Forewarn,Determines what moves a foe has.,Inner Focus,The Pokémon is protected from flinching.
97,Hypno,Insomnia,Prevents the Pokémon from falling asleep.,Forewarn,Determines what moves a foe has.,Inner Focus,The Pokémon is protected from flinching.
98,Krabby,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Shell Armor,The Pokémon is protected against critical hits.,Sheer Force,Removes added effects to increase move damage.
99,Kingler,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Shell Armor,The Pokémon is protected against critical hits.,Sheer Force,Removes added effects to increase move damage.
100,Voltorb,Soundproof,Gives immunity to sound-based moves.,Static,Contact with the Pokémon may cause paralysis.,Aftermath,Damages the attacker landing the finishing hit.
101,Electrode,Soundproof,Gives immunity to sound-based moves.,Static,Contact with the Pokémon may cause paralysis.,Aftermath,Damages the attacker landing the finishing hit.
102,Exeggcute,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Harvest,May create another Berry after one is used.
103,Exeggutor,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Harvest,May create another Berry after one is used.
104,Cubone,Rock Head,Protects the Pokémon from recoil damage.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Battle Armor,The Pokémon is protected against critical hits.
105,Marowak,Rock Head,Protects the Pokémon from recoil damage.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Battle Armor,The Pokémon is protected against critical hits.
106,Hitmonlee,Limber,The Pokémon is protected from paralysis.,Reckless,Powers up moves that have recoil damage.,Unburden,Raises Speed if a held item is used.
107,Hitmonchan,Keen Eye,Prevents other Pokémon from lowering accuracy.,Iron Fist,Boosts the power of punching moves.,Inner Focus,The Pokémon is protected from flinching.
108,Lickitung,Own Tempo,Prevents the Pokémon from becoming confused.,Oblivious,Prevents it from becoming infatuated.,Cloud Nine,Eliminates the effects of weather.
109,Koffing,Levitate,Gives immunity to Ground type moves.,Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.,Stench,The stench may cause the target to flinch.
110,Weezing,Levitate,Gives immunity to Ground type moves.,Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.,Stench,The stench may cause the target to flinch.
111,Rhyhorn,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Rock Head,Protects the Pokémon from recoil damage.,Reckless,Powers up moves that have recoil damage.
112,Rhydon,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Rock Head,Protects the Pokémon from recoil damage.,Reckless,Powers up moves that have recoil damage.
113,Chansey,Natural Cure,All status problems heal when it switches out.,Serene Grace,Boosts the likelihood of added effects appearing.,Healer,May heal an ally's status conditions.
114,Tangela,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Leaf Guard,Prevents problems with status in sunny weather.,Regenerator,Restores a little HP when withdrawn from battle.
115,Kangaskhan,Early Bird,The Pokémon awakens quickly from sleep.,Scrappy,Enables moves to hit Ghost-type Pokémon.,Inner Focus,The Pokémon is protected from flinching.
116,Horsea,Swift Swim,Boosts the Pokémon's Speed in rain.,Sniper,Powers up moves if they become critical hits.,Damp,Prevents the use of self-destructing moves.
117,Seadra,Poison Point,Contact with the Pokémon may poison the attacker.,Sniper,Powers up moves if they become critical hits.,Damp,Prevents the use of self-destructing moves.
118,Goldeen,Swift Swim,Boosts the Pokémon's Speed in rain.,Water Veil,Prevents the Pokémon from getting a burn.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
119,Seaking,Swift Swim,Boosts the Pokémon's Speed in rain.,Water Veil,Prevents the Pokémon from getting a burn.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
120,Staryu,Illuminate,Raises the likelihood of meeting wild Pokémon.,Natural Cure,All status problems heal when it switches out.,Analytic,Boosts move power when the Pokémon moves last.
121,Starmie,Illuminate,Raises the likelihood of meeting wild Pokémon.,Natural Cure,All status problems heal when it switches out.,Analytic,Boosts move power when the Pokémon moves last.
122,Mr. Mime,Soundproof,Gives immunity to sound-based moves.,Filter,Reduces damage from super-effective attacks.,Technician,Powers up the Pokémon's weaker moves.
123,Scyther,Swarm,Powers up Bug-type moves in a pinch.,Technician,Powers up the Pokémon's weaker moves.,Steadfast,Raises Speed each time the Pokémon flinches.
124,Jynx,Oblivious,Prevents it from becoming infatuated.,Forewarn,Determines what moves a foe has.,Dry Skin,Reduces HP if it is hot. Water restores HP.
125,Electabuzz,Static,Contact with the Pokémon may cause paralysis.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
126,Magmar,Flame Body,Contact with the Pokémon may burn the attacker.,,,Vital Spirit,Prevents the Pokémon from falling asleep.
127,Pinsir,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Mold Breaker,Moves can be used regardless of Abilities.,Moxie,Boosts Attack after knocking out any Pokémon.
128,Tauros,Intimidate,Lowers the foe's Attack stat.,Anger Point,Maxes Attack after taking a critical hit.,Sheer Force,Removes added effects to increase move damage.
129,Magikarp,Swift Swim,Boosts the Pokémon's Speed in rain.,,,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
130,Gyarados,Intimidate,Lowers the foe's Attack stat.,,,Moxie,Boosts Attack after knocking out any Pokémon.
131,Lapras,Water Absorb,Restores HP if hit by a Water-type move.,Shell Armor,The Pokémon is protected against critical hits.,Hydration,Heals status problems if it is raining.
132,Ditto,Limber,The Pokémon is protected from paralysis.,,,Imposter,It transforms itself into the Pokémon it is facing.
133,Eevee,Run Away,Enables a sure getaway from wild Pokémon.,Adaptability,Powers up moves of the same type.,Anticipation,Senses a foe's dangerous moves.
134,Vaporeon,Water Absorb,Restores HP if hit by a Water-type move.,,,Hydration,Heals status problems if it is raining.
135,Jolteon,Volt Absorb,Restores HP if hit by an Electric-type move.,,,Quick Feet,Boosts Speed if there is a status problem.
136,Flareon,Flash Fire,It powers up Fire-type moves if it's hit by one.,,,Guts,Boosts Attack if there is a status problem.
137,Porygon,Trace,The Pokémon copies a foe's Ability.,Download,Adjusts power according to a foe's defenses.,Analytic,Boosts move power when the Pokémon moves last.
138,Omanyte,Swift Swim,Boosts the Pokémon's Speed in rain.,Shell Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
139,Omastar,Swift Swim,Boosts the Pokémon's Speed in rain.,Shell Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
140,Kabuto,Swift Swim,Boosts the Pokémon's Speed in rain.,Battle Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
141,Kabutops,Swift Swim,Boosts the Pokémon's Speed in rain.,Battle Armor,The Pokémon is protected against critical hits.,Weak Armor,Physical attacks lower Defense and raise Speed.
142,Aerodactyl,Rock Head,Protects the Pokémon from recoil damage.,Pressure,The Pokémon raises the foe's PP usage.,Unnerve,Makes the foe nervous and unable to eat Berries.
143,Snorlax,Immunity,Prevents the Pokémon from getting poisoned.,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Gluttony,Encourages the early use of a held Berry.
144,Articuno,Pressure,The Pokémon raises the foe's PP usage.,,,Snow Cloak,Raises evasion in a hailstorm.
145,Zapdos,Pressure,The Pokémon raises the foe's PP usage.,,,Static,Contact with the Pokémon may cause paralysis.
146,Moltres,Pressure,The Pokémon raises the foe's PP usage.,,,Flame Body,Contact with the Pokémon may burn the attacker.
147,Dratini,Shed Skin,The Pokémon may heal its own status problems.,,,Marvel Scale,Ups Defense if there is a status problem.
148,Dragonair,Shed Skin,The Pokémon may heal its own status problems.,,,Marvel Scale,Ups Defense if there is a status problem.
149,Dragonite,Inner Focus,The Pokémon is protected from flinching.,,,Multiscale,Reduces damage when HP is full.
150,Mewtwo,Pressure,The Pokémon raises the foe's PP usage.,,,Unnerve,Makes the foe nervous and unable to eat Berries.
151,Mew,Synchronize,"Passes a burn, poison, or paralysis to the foe.",,,,
152,Chikorita,Overgrow,Powers up Grass-type moves in a pinch.,,,Leaf Guard,Prevents problems with status in sunny weather.
153,Bayleef,Overgrow,Powers up Grass-type moves in a pinch.,,,Leaf Guard,Prevents problems with status in sunny weather.
154,Meganium,Overgrow,Powers up Grass-type moves in a pinch.,,,Leaf Guard,Prevents problems with status in sunny weather.
155,Cyndaquil,Blaze,Powers up Fire-type moves in a pinch.,,,Flash Fire,It powers up Fire-type moves if it's hit by one.
156,Quilava,Blaze,Powers up Fire-type moves in a pinch.,,,Flash Fire,It powers up Fire-type moves if it's hit by one.
157,Typhlosion,Blaze,Powers up Fire-type moves in a pinch.,,,Flash Fire,It powers up Fire-type moves if it's hit by one.
158,Totodile,Torrent,Powers up Water-type moves in a pinch.,,,Sheer Force,Removes added effects to increase move damage.
159,Croconaw,Torrent,Powers up Water-type moves in a pinch.,,,Sheer Force,Removes added effects to increase move damage.
160,Feraligatr,Torrent,Powers up Water-type moves in a pinch.,,,Sheer Force,Removes added effects to increase move damage.
161,Sentret,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Frisk,The Pokémon can check a foe's held item.
162,Furret,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Frisk,The Pokémon can check a foe's held item.
163,Hoothoot,Insomnia,Prevents the Pokémon from falling asleep.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tinted Lens,Powers up “not very effective” moves.
164,Noctowl,Insomnia,Prevents the Pokémon from falling asleep.,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tinted Lens,Powers up “not very effective” moves.
165,Ledyba,Swarm,Powers up Bug-type moves in a pinch.,Early Bird,The Pokémon awakens quickly from sleep.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
166,Ledian,Swarm,Powers up Bug-type moves in a pinch.,Early Bird,The Pokémon awakens quickly from sleep.,Iron Fist,Boosts the power of punching moves.
167,Spinarak,Swarm,Powers up Bug-type moves in a pinch.,Insomnia,Prevents the Pokémon from falling asleep.,Sniper,Powers up moves if they become critical hits.
168,Ariados,Swarm,Powers up Bug-type moves in a pinch.,Insomnia,Prevents the Pokémon from falling asleep.,Sniper,Powers up moves if they become critical hits.
169,Crobat,Inner Focus,The Pokémon is protected from flinching.,,,Infiltrator,Passes through the foe's barrier and strikes.
170,Chinchou,Volt Absorb,Restores HP if hit by an Electric-type move.,Illuminate,Raises the likelihood of meeting wild Pokémon.,Water Absorb,Restores HP if hit by a Water-type move.
171,Lanturn,Volt Absorb,Restores HP if hit by an Electric-type move.,Illuminate,Raises the likelihood of meeting wild Pokémon.,Water Absorb,Restores HP if hit by a Water-type move.
172,Pichu,Static,Contact with the Pokémon may cause paralysis.,,,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
173,Cleffa,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,Protects the Pokémon from indirect damage.,Friend Guard,Reduces damage done to allies.
174,Igglybuff,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Friend Guard,Reduces damage done to allies.
175,Togepi,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of added effects appearing.,Super Luck,Heightens the critical-hit ratios of moves.
176,Togetic,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of added effects appearing.,Super Luck,Heightens the critical-hit ratios of moves.
177,Natu,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Early Bird,The Pokémon awakens quickly from sleep.,Magic Bounce,Reflects status- changing moves.
178,Xatu,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Early Bird,The Pokémon awakens quickly from sleep.,Magic Bounce,Reflects status- changing moves.
179,Mareep,Static,Contact with the Pokémon may cause paralysis.,,,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
180,Flaaffy,Static,Contact with the Pokémon may cause paralysis.,,,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
181,Ampharos,Static,Contact with the Pokémon may cause paralysis.,,,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
182,Bellossom,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Healer,May heal an ally's status conditions.
183,Marill,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Huge Power,Raises the Pokémon's Attack stat.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
184,Azumarill,Thick Fat,Ups resistance to Fire- and Ice-type moves.,Huge Power,Raises the Pokémon's Attack stat.,Sap Sipper,Boosts Attack when hit by a Grass-type move.
185,Sudowoodo,Sturdy,It cannot be knocked out with one hit.,Rock Head,Protects the Pokémon from recoil damage.,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
186,Politoed,Water Absorb,Restores HP if hit by a Water-type move.,Damp,Prevents the use of self-destructing moves.,Drizzle,The Pokémon makes it rain when it enters a battle.
187,Hoppip,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Leaf Guard,Prevents problems with status in sunny weather.,Infiltrator,Passes through the foe's barrier and strikes.
188,Skiploom,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Leaf Guard,Prevents problems with status in sunny weather.,Infiltrator,Passes through the foe's barrier and strikes.
189,Jumpluff,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Leaf Guard,Prevents problems with status in sunny weather.,Infiltrator,Passes through the foe's barrier and strikes.
190,Aipom,Run Away,Enables a sure getaway from wild Pokémon.,Pickup,The Pokémon may pick up items.,Skill Link,Increases the frequency of multi-strike moves.
191,Sunkern,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases.",Early Bird,The Pokémon awakens quickly from sleep.
192,Sunflora,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases.",Early Bird,The Pokémon awakens quickly from sleep.
193,Yanma,Speed Boost,Its Speed stat is gradually boosted.,Compound Eyes,The Pokémon's accuracy is boosted.,Frisk,The Pokémon can check a foe's held item.
